Site,Title,URL,Summary
https://www.offshorewind.biz/,First Wind Turbine Up at Sofia Offshore Wind Farm Where Half of Blades Will Be Recyclable,https://www.offshorewind.biz/2025/03/28/first-wind-turbine-up-at-sofia-offshore-wind-farm-where-half-of-blades-will-be-recyclable/,"the 1.4 GW project, developed by RWE, will comprise 100 Siemens Gamesa 14 MW turbines, half of which will be fitted with recyclable blades . each of the Sofia wind turbines will stand over 252 metres above sea level, with blades of 108 metres sweeping an area of 39,000 square metres ."
https://www.offshorewind.biz/,offshoreWIND.biz,https://www.offshorewind.biz/,Summary not available.
https://www.offshorewind.biz/,CIP Orders Fengmiao 1 Offshore Wind Turbines at Vestas,https://www.offshorewind.biz/2025/03/28/cip-orders-fengmiao-1-offshore-wind-turbines-at-vestas/,"for the 495 MW offshore wind farm off the coast of Taichung, Vestas will supply 33 V236-15.0 MW wind turbines and has also signed a long-term service agreement . it is the first of Taiwan’s Round 3 projects to reach this stage and start construction ."
https://www.offshorewind.biz/,G-TEC Completes Seabed Survey in Dutch Doordewind Offshore Wind Farm Zone1 day ago,https://www.offshorewind.biz/2025/03/28/g-tec-completes-seabed-survey-in-dutch-doordewind-offshore-wind-farm-zone/,"the offshore work was carried out by G-TEC’s survey vessels Mainport GEO and Karina . the company acquired, processed, and delivered a range of high-quality geophysical data using a multibeam echosounder (MBES), side-scan sonar (SSS), sub-bottom profiler (SBP) and magnetometry (MAG)"
https://www.offshorewind.biz/,"EWE, RWE: ‘Alpha Ventus Is Not a Regular Offshore Wind Farm; Project Has More than Fulfilled Its Purpose’",https://www.offshorewind.biz/2025/03/27/ewe-rwe-alpha-ventus-is-not-a-regular-offshore-wind-farm-project-has-more-than-fulfilled-its-purpose/,the consortium behind the first german offshore wind farm pointed out that the 60 MW project should not be considered in the context of typical offshore wind farms today . alpha ventus is Germany’s first and oldest operating offshore wind project . it is located 45 kilometres north of the island of Borkum in the north sea .
https://www.offshorewind.biz/,Scottish Council Greenlights Onshore Plans for Salamander Floating Wind Farm,https://www.offshorewind.biz/2025/03/27/scottish-council-greenlights-onshore-plans-for-salamander-floating-wind-farm/,"Salamander Offshore Wind Farm is being developed by a joint venture between rsted, Simply Blue Group, and Subsea7 . the submission was made to Aberdeenshire council for the onshore substation and associated infrastructure in august 2024 under the Town and Country Planning Act (Scotland) 1997 . a second application, to the Energy Consents Unit of the Scottish Government for the wind farm’s energy balancing infrastructure, has"
https://www.offshorewind.biz/,Offshore-Energy.biz,https://www.offshore-energy.biz/,the offshore energy magazine focuses on the maritime and offshore energy industries . the maritime industry cannot fulfil their ambitions without the expertise of the maritime sector .
https://www.offshorewind.biz/,PEAK Wind to Manage Operations of CIP’s Offshore Wind Farm in Taiwan,https://www.offshorewind.biz/2025/03/27/peak-wind-to-manage-operations-of-cips-offshore-wind-farm-in-taiwan/,"PEAK Wind has entered into an operations management agreement (OMA) to oversee the operations of Copenhagen Infrastructure Partners’ (CIP) Fengmiao 1 offshore wind farm in Taiwan . the company is said to provide operational management, continuing to build up a strong Taiwan operations setup . PEAK wind’s total wind farm portfolio under management now accumulates to 2.6 GW ."
https://www.offshorewind.biz/,"Ingka, Oxan, and Avapa to Jointly Develop Two Italian Floating Wind Farms as Hexicon Sells Stake3 days ago",https://www.offshorewind.biz/2025/03/26/ingka-oxan-and-avapa-to-jointly-develop-two-italian-floating-wind-farms-as-hexicon-sells-stake/,"the two italian floating wind farms could total 2.45 GW . the 1,150 MW Sicily South and the 1,300 MW Sardinia Northwest are in an early development stage . they are proceeding with their Environmental Impact Assessment ."
https://www.offshorewind.biz/,Offshore Wind Common Goal in Netherlands,https://www.offshorewind.biz/2025/02/03/offshore-wind-common-goal-in-netherlands-as-75-pct-of-electricity-in-2032-expected-to-come-from-wind-farms-in-dutch-north-sea/,"75 per cent of all electricity produced in the Netherlands will come from offshore wind . the country will continue powering ahead with permitting and deploying wind farms in its north sea waters . this is according to Jan Vos, chairman of NedZero ."
https://www.offshorewind.biz/,Management Plan Approved for Ørsted’s Australian Offshore Wind Farms2 days ago,https://www.offshorewind.biz/2025/03/27/management-plan-approved-for-orsteds-australian-offshore-wind-farms/,the management plan details how activities will be safely carried out in compliance with the Offshore Electricity Infrastructure Act (OEI Act) rsted was one of the first companies to secure a feasibility licence for wind projects proposed to be built offshore .
https://www.offshorewind.biz/,newGone with the Wind: Overcoming Europe’s Offshore Project Obstacles,https://www.offshorewind.biz/2025/03/20/gone-with-the-wind-overcoming-europes-offshore-project-obstacles/,offshore wind will be key to the EU’s ambitious plans to double its share of renewables . but challenges including grid connections and supply chain issues may hinder the rapid progress required to achieve this target . aims for at least 42.5% of all electricity to come from green sources by 2030 .
https://www.offshorewind.biz/,newReducing cost and risk in floating offshore wind asset integrity monitoring,https://www.offshorewind.biz/2025/03/10/reducing-cost-and-risk-in-floating-offshore-wind-asset-integrity-monitoring/,"newer sites are increasingly:1) far from shore, in harsher metocean conditions, and3) utilising floating structures . float turbines, which use mooring line systems to connect to anchors, exhibit the greatest challenges . the lines are vulnerable to corrosion and/or fatigue leading to failures ."
https://www.offshorewind.biz/,Management Plan Approved for Ørsted’s Australian Offshore Wind Farms,https://www.offshorewind.biz/2025/03/27/management-plan-approved-for-orsteds-australian-offshore-wind-farms/,the management plan details how activities will be safely carried out in compliance with the Offshore Electricity Infrastructure Act (OEI Act) rsted was one of the first companies to secure a feasibility licence for wind projects proposed to be built offshore .
https://www.offshorewind.biz/,"Ingka, Oxan, and Avapa to Jointly Develop Two Italian Floating Wind Farms as Hexicon Sells Stake",https://www.offshorewind.biz/2025/03/26/ingka-oxan-and-avapa-to-jointly-develop-two-italian-floating-wind-farms-as-hexicon-sells-stake/,"the two italian floating wind farms could total 2.45 GW . the 1,150 MW Sicily South and the 1,300 MW Sardinia Northwest are in an early development stage . they are proceeding with their Environmental Impact Assessment ."
https://www.offshorewind.biz/,Saipem Unveils Star1 Floating Wind Foundation for Next-Gen Turbines18 days ago,https://www.offshorewind.biz/2025/03/11/saipem-unveils-star1-floating-wind-foundation-for-next-gen-turbines/,"the star-like shape foundation was recently selected for two floating wind projects planned to be built in Italy . the steel semi-submersible floating wind foundation consists of three arms converging at the centre, where the tower supporting next-generation turbines is installed ."
https://www.offshorewind.biz/,Vattenfall Reaches Final Investment Decision to Build Germany’s Largest Offshore Wind Farm,https://www.offshorewind.biz/2025/03/26/vattenfall-reaches-final-investment-decision-to-build-germanys-largest-offshore-wind-farm/,"the final investment decision for Nordlicht 2 has been made on a conditional basis, pending the receipt of the necessary permit . the nordlicht wind cluster will have a net capacity of more than 1.6 GW, with Nordlicht 1 set to become the largest offshore wind project in Germany ."
https://www.offshorewind.biz/,Scottish Council Greenlights Onshore Plans for Salamander Floating Wind Farm2 days ago,https://www.offshorewind.biz/2025/03/27/scottish-council-greenlights-onshore-plans-for-salamander-floating-wind-farm/,"Salamander Offshore Wind Farm is being developed by a joint venture between rsted, Simply Blue Group, and Subsea7 . the submission was made to Aberdeenshire council for the onshore substation and associated infrastructure in august 2024 under the Town and Country Planning Act (Scotland) 1997 . a second application, to the Energy Consents Unit of the Scottish Government for the wind farm’s energy balancing infrastructure, has"
https://www.offshorewind.biz/,Greater Changhua 2b & 4 Offshore Substation Installed,https://www.offshorewind.biz/2025/03/24/greater-changhua-2b-4-offshore-substation-installed/,"the offshore substation (OSS) of the Greater Changhua 2b and 4 offshore wind project has been installed 47 kilometres off the southwest coast of Taiwan . the 920 MW project will feature 66 Siemens Gamesa 14-236 DD wind turbines, the largest of their kind to be deployed in the Taiwan Strait ."
https://www.offshorewind.biz/,PEAK Wind to Manage Operations of CIP’s Offshore Wind Farm in Taiwan2 days ago,https://www.offshorewind.biz/2025/03/27/peak-wind-to-manage-operations-of-cips-offshore-wind-farm-in-taiwan/,"PEAK Wind has entered into an operations management agreement (OMA) to oversee the operations of Copenhagen Infrastructure Partners’ (CIP) Fengmiao 1 offshore wind farm in Taiwan . the company is said to provide operational management, continuing to build up a strong Taiwan operations setup . PEAK wind’s total wind farm portfolio under management now accumulates to 2.6 GW ."
https://www.offshorewind.biz/,First Wind Turbine Up at Sofia Offshore Wind Farm Where Half of Blades Will Be Recyclable1 day ago,https://www.offshorewind.biz/2025/03/28/first-wind-turbine-up-at-sofia-offshore-wind-farm-where-half-of-blades-will-be-recyclable/,"the 1.4 GW project, developed by RWE, will comprise 100 Siemens Gamesa 14 MW turbines, half of which will be fitted with recyclable blades . each of the Sofia wind turbines will stand over 252 metres above sea level, with blades of 108 metres sweeping an area of 39,000 square metres ."
https://www.upstreamonline.com/,Glenfarne reveals new ownership stake in emerging US LNG projectlngUpdated,https://www.upstreamonline.com/lng/glenfarne-reveals-new-ownership-stake-in-emerging-us-lng-project/2-1-1799519,"upstream helps readers filter out the noise and zero in on what matters in the international energy industry . for nearly three decades, we have been the go-to source for independent news and analysis of the major oil and gas projects shaping the industry and the people behind them."
https://www.upstreamonline.com/,"Shell, Equinor and TotalEnergies greenlight Northern Lights phase twocarbon capture",https://www.upstreamonline.com/carbon-capture/shell-equinor-and-totalenergies-make-final-investment-decision-on-northern-lights-phase-two/2-1-1798979,"joint venture will invest $700 million to expand carbon dioxide storage capacity In a world awash with information, Upstream helps readers filter out the noise and zero in on what matters in the international energy industry ."
