Title,URL
LNG,https://www.upstreamonline.com/lng
"Six in frame for Asian giant's offshore rig deals
EXPLORATION
EXCLUSIVE",https://www.upstreamonline.com/rigs-and-vessels/six-in-frame-for-asian-giants-offshore-rig-deals/2-1-1796477
"Suriname player raises $516 million to fund major offshore development
FINANCE",https://www.upstreamonline.com/finance/suriname-player-raises-516-million-to-fund-granmorgu-development/2-1-1797390
"Shell pegs long term value on 'winner' gas and LNG portfolio
FINANCE",https://www.upstreamonline.com/finance/shell-pegs-long-term-value-on-winner-gas-and-lng-portfolio/2-1-1797389
First Jacket In at 300 MW Taiwanese Offshore Wind Farm,https://www.offshorewind.biz/2025/03/21/first-jacket-in-at-300-mw-taiwanese-offshore-wind-farm/
Offshore-Energy.biz,https://www.offshore-energy.biz/
Norwegian floating offshore wind companies optimistic about the industry’s future,https://www.offshorewind.biz/2025/03/24/norwegian-floating-offshore-wind-companies-optimistic-about-the-industrys-future/
Offshore Wind Common Goal in Netherlands,https://www.offshorewind.biz/2025/02/03/offshore-wind-common-goal-in-netherlands-as-75-pct-of-electricity-in-2032-expected-to-come-from-wind-farms-in-dutch-north-sea/
NEW Norwegian floating offshore wind companies optimistic about the industry’s future,https://www.offshorewind.biz/2025/03/24/norwegian-floating-offshore-wind-companies-optimistic-about-the-industrys-future/
Offshore Energy Exhibition & Conference (OEEC) 2025,https://www.offshorewind.biz/events/offshore-energy-exhibition-conference-oeec-2025/
Vena Energy Plans USD 200 Million Investment in 384 MW Offshore Wind Project in South Korea,https://www.offshorewind.biz/2025/03/25/vena-energy-plans-usd-200-million-investment-in-384-mw-offshore-wind-project-in-south-korea/
Floating Wind news,https://www.offshorewind.biz/topic/floating-wind/
offshoreWIND.biz,https://www.offshorewind.biz/
Philippine National Oil Company Eyes Offshore Wind Port in Batangas,https://www.offshorewind.biz/2025/03/24/philippine-national-oil-company-eyes-offshore-wind-port-in-batangas/
Gone with the Wind: Overcoming Europe’s Offshore Project Obstacles,https://www.offshorewind.biz/2025/03/20/gone-with-the-wind-overcoming-europes-offshore-project-obstacles/
NEW Reducing cost and risk in floating offshore wind asset integrity monitoring,https://www.offshorewind.biz/2025/03/10/reducing-cost-and-risk-in-floating-offshore-wind-asset-integrity-monitoring/
"Saipem Unveils Star1 Floating Wind Foundation for Next-Gen Turbines
14 days ago",https://www.offshorewind.biz/2025/03/11/saipem-unveils-star1-floating-wind-foundation-for-next-gen-turbines/
"Cerulean Adds Ocean Installer to Aspen Floating Wind Team
14 days ago",https://www.offshorewind.biz/2025/03/11/cerulean-adds-ocean-installer-to-aspen-floating-wind-team/
"1.2 GW Polish Offshore Wind Farm Receives Design Conformity Certificates
15 hours ago",https://www.offshorewind.biz/2025/03/25/1-2-gw-polish-offshore-wind-farm-receives-design-conformity-certificates/
"Greater Changhua 2b & 4 Offshore Substation Installed
1 day ago",https://www.offshorewind.biz/2025/03/24/greater-changhua-2b-4-offshore-substation-installed/
"First Jacket In at 300 MW Taiwanese Offshore Wind Farm
4 days ago",https://www.offshorewind.biz/2025/03/21/first-jacket-in-at-300-mw-taiwanese-offshore-wind-farm/
Greater Changhua 2b & 4 Offshore Substation Installed,https://www.offshorewind.biz/2025/03/24/greater-changhua-2b-4-offshore-substation-installed/
LS Cable & System Subsidiaries to Focus on Offshore Wind,https://www.offshorewind.biz/2025/03/24/ls-cable-system-subsidiaries-to-focus-on-offshore-wind/
"Vena Energy Plans USD 200 Million Investment in 384 MW Offshore Wind Project in South Korea
14 hours ago",https://www.offshorewind.biz/2025/03/25/vena-energy-plans-usd-200-million-investment-in-384-mw-offshore-wind-project-in-south-korea/
"Japan’s FLOWRA and UK’s ORE Catapult Sign Floating Offshore Wind Agreement
15 days ago",https://www.offshorewind.biz/2025/03/10/japans-flowra-and-uks-ore-catapult-sign-floating-offshore-wind-agreement/
Guernsey Looking Into Offshore Wind Seabed Leasing,https://www.offshorewind.biz/2025/03/24/guernsey-looking-into-offshore-wind-seabed-leasing/
France Kicks Off Consultation for AO10 Offshore Wind Tender,https://www.offshorewind.biz/2025/03/24/france-kicks-off-consultation-for-ao10-offshore-wind-tender/
Deep Wind Offshore Brings Local Partner Onboard South Korean Projects,https://www.offshorewind.biz/2025/03/25/deep-wind-offshore-brings-local-partner-onboard-south-korean-projects/
1.2 GW Polish Offshore Wind Farm Receives Design Conformity Certificates,https://www.offshorewind.biz/2025/03/25/1-2-gw-polish-offshore-wind-farm-receives-design-conformity-certificates/
"WTIV Wind Peak On Its Way to Sofia Offshore Wind Farm Site to Install First Turbines
4 days ago",https://www.offshorewind.biz/2025/03/21/wtiv-wind-peak-on-its-way-to-sofia-offshore-wind-farm-site-to-install-first-turbines/
NEW Gone with the Wind: Overcoming Europe’s Offshore Project Obstacles,https://www.offshorewind.biz/2025/03/20/gone-with-the-wind-overcoming-europes-offshore-project-obstacles/
‘Pragmatic’ offshore energy investment policy key to ensure UK’s supply chain stays put,https://www.offshore-energy.biz/pragmatic-offshore-energy-investment-policy-key-to-ensure-uks-supply-chain-stays-put/
Offshore-Energy.biz,https://www.offshore-energy.biz/
Offshore Technology Conference (OTC),https://www.offshore-energy.biz/events/offshore-technology-conference-otc-2/
Transocean rig spuds first of ten gas wells in Black Sea drilling campaign,https://www.offshore-energy.biz/transocean-rig-spuds-first-of-ten-gas-wells-in-black-sea-drilling-campaign/
Offshore Energy Magazine,https://www.offshore-energy.biz/offshore-energy-magazine/
"Oil & gas drilling adds another hydrocarbon find to Petrobras’ Brazilian arsenal
16 hours ago",https://www.offshore-energy.biz/oil-gas-drilling-adds-another-hydrocarbon-find-to-petrobras-brazilian-arsenal/
offshoreWIND.biz,https://www.offshorewind.biz/
MODEC gets its hands on 20-year FPSO job with Shell for Brazilian oil & gas development,https://www.offshore-energy.biz/modec-gets-its-hands-on-20-year-fpso-job-with-shell-for-brazilian-oil-gas-development/
Canada throws its weight behind $4 billion hydro-powered floating LNG project,https://www.offshore-energy.biz/canada-throws-its-weight-behind-4-billion-hydro-powered-floating-lng-project/
ExxonMobil books New Wave Offshore for work on its $12.7B oil project in Guyana,https://www.offshore-energy.biz/exxonmobil-books-new-wave-offshore-for-work-on-its-12-7b-oil-project-in-guyana/
Read the Offshore Energy Magazine,https://www.offshore-energy.biz/offshore-energy-magazine/
US gives the go-ahead for Venture Global’s proposed $28 billion LNG export project in Louisiana,https://www.offshore-energy.biz/us-gives-the-go-ahead-for-venture-globals-proposed-28-billion-lng-export-project-in-louisiana/
Court changes its mind: Construction of American LNG project emerging out of legal woods,https://www.offshore-energy.biz/court-changes-its-mind-construction-of-american-lng-project-emerging-out-of-legal-woods/
"Hydraulics, mechanical or electrical: offshore engineering projects demand specialised equipment",https://www.offshore-energy.biz/hydraulics-mechanical-or-electrical-offshore-engineering-projects-demand-specialised-equipment/
Falkland Islands’ $1.4. billion oil project remains on track for FID in mid-2025,https://www.offshore-energy.biz/falkland-islands-1-4-billion-oil-project-remains-on-track-for-fid-in-mid-2025/
OFFSHORE,https://gcaptain.com/category/offshore-news/
Sea1 Offshore Orders Two More Offshore Energy Support Vessels,https://www.oedigital.com/news/523866-sea1-offshore-orders-two-more-offshore-energy-support-vessels
Offshore Engineer TV,https://www.oedigital.com/t/video
Offshore Wind,https://www.oedigital.com/offshore-wind
"Hellenic Cables, Asso.subsea Get Dunkerque Offshore Wind...",https://www.oedigital.com/news/523771-hellenic-cables-asso-subsea-get-dunkerque-offshore-wind-farm-s-cabling-job
Pacific Offshore Wind Offshore 2025,https://www.oedigital.com/events/pacific-offshore-wind-offshore-2025-10536
Marubeni takes a 25% Stake in Windward Offshore,https://www.oedigital.com/news/523877-marubeni-takes-a-25-stake-in-windward-offshore
Canada Backs Cedar LNG Project with up to $140M Investment,https://www.oedigital.com/news/523803-canada-backs-cedar-lng-project-with-up-to-140m-investment
Shell Makes FID for Deepwater Gato do Mato Project off...,https://www.oedigital.com/news/523773-shell-makes-fid-for-deepwater-gato-do-mato-project-off-brazil
W&T Offshore Announces New CTO,https://www.oedigital.com/news/523895-w-t-offshore-announces-new-cto
Offshore News,https://www.oedigital.com/offshore-news
Golar LNG Brings In Chinese Investors for FLNG Gimi...,https://www.oedigital.com/news/523767-golar-lng-brings-in-chinese-investors-for-flng-gimi-refinancing
Offshore Engineer (Jan/Feb 2025),https://offshoreengineer.oedigital.com/magazine/issue/202501/
Glamox to Light Denmark’s Largest Offshore Wind Farm,https://www.oedigital.com/news/523807-glamox-to-light-denmark-s-largest-offshore-wind-farm
Nexans to Supply Subsea Cables for Three French Offshore...,https://www.oedigital.com/news/523854-nexans-to-supply-subsea-cables-for-three-french-offshore-wind-farms
Sea1 Offshore Orders Two More Offshore Energy Support...,https://www.oedigital.com/news/523866-sea1-offshore-orders-two-more-offshore-energy-support-vessels
"Delfin LNG, SEFE ink 15-year LNG Supply Deal",https://www.oedigital.com/news/523880-delfin-lng-sefe-ink-15-year-lng-supply-deal
Offshore Drilling News,https://www.oedigital.com/offshore-drilling-news
Sea Lion Offshore Oil Project in Falkland Islands Targets...,https://www.oedigital.com/news/523815-sea-lion-offshore-oil-project-in-falkland-islands-targets-fid-in-mid-2025
Subscribe to Offshore Engineer,https://subscribe.oedigital.com/Subscribe/
Deep Wind Offshore Finds Local Partner for Korean Offshore...,https://www.oedigital.com/news/523862-deep-wind-offshore-finds-local-partner-for-korean-offshore-wind-projects
Palfinger to Equip Polish Offshore Wind Farms with...,https://www.oedigital.com/news/523812-palfinger-to-equip-polish-offshore-wind-farms-with-platform-cranes
DRILLING,https://www.oedigital.com/drilling
Delfin Receives MARAD Approval for FLNG Export Terminal in U.S. Gulf,https://maritime-executive.com/article/delfin-receives-marad-approval-for-flng-export-terminal-in-u-s-gulf
Vattenfall Approves Construction of Germany’s Largest Offshore Wind Farm,https://maritime-executive.com/article/vattenfall-approves-construction-of-germany-s-largest-offshore-wind-farm
OFFSHORE,https://maritime-executive.com/offshore-news
Trump's EPA Withdraws Permit from Proposed NJ Offshore Wind Farm,https://maritime-executive.com/article/trump-s-epa-withdraws-permit-from-proposed-nj-offshore-wind-farm
"25 Mar 2025
Delfin LNG, SEFE ink 15-year LNG Supply Deal
Delfin LNG and German company Securing Energy For Europe (SEFE) have signed a 15…",https://www.marinelink.com/news/delfin-lng-sefe-ink-year-lng-supply-deal-523880
"25 Mar 2025
BOS Princess Becomes Geotechnical Drilling Vessel
Seas Geosciences has completed the conversion of the BOS Princess into a multipurpose geotechnical drilling vessel that is now ready to serve the global offshore energy industry.With its 80-metre length and close to 19-metre beam, the BOS Princess…",https://www.marinelink.com/news/bos-princess-becomes-geotechnical-523868
"Keel Laying for Wind Flyer Trimaran Crew Boat
Aesen, in partnership with its Thailand joint venture Uniwise Offshore…",https://www.marinelink.com/news/keel-laying-wind-flyer-trimaran-crew-boat-523886
OFFSHORE,https://www.marinelink.com/news/maritime/offshore
"25 Mar 2025
Sea1 Offshore Orders Two More Offshore Energy Support Vessels",https://www.marinelink.com/news/sea-offshore-orders-two-offshore-energy-523866
Affinity LNG moves into Dubai as it expands with new faces,https://www.tradewindsnews.com/gas/affinity-lng-moves-into-dubai-as-it-expands-with-new-faces/2-1-1796228
Energy major Shell plans LNG sales boost to the end of the decade,https://www.tradewindsnews.com/gas/energy-major-shell-plans-lng-sales-boost-to-the-end-of-the-decade/2-1-1797120
"BDI (Points): 1,642VLCC Spot ($/day): 43,400LNG ($/day): 17,000SING ($/mt): 512See more at Tradewinds Markets",https://www.tradewindsnews.com/markets/
Golar LNG snags $1.2bn refinancing deal from Chinese consortium for FLNG unit,https://www.tradewindsnews.com/gas/golar-lng-snags-1-2bn-refinancing-deal-from-chinese-consortium-for-flng-unit/2-1-1795534
Christen Sveaas-backed Sea1 Offshore adds two methanol-ready newbuildings at Cosco,https://www.tradewindsnews.com/offshore/christen-sveaas-backed-sea1-offshore-adds-two-methanol-ready-newbuildings-at-cosco-shipping/2-1-1797155
Bulker-LNG carrier collision prompts Gibraltar to review pilotage needs,https://www.tradewindsnews.com/gas/bulker-lng-carrier-collision-prompts-gibraltar-to-review-pilotage-needs/2-1-1795333
Christen Sveaas-backed Sea1 Offshore adds two methanol-ready newbuildings at Cosco,https://www.tradewindsnews.com/offshore/christen-sveaas-backed-sea1-offshore-adds-two-methanol-ready-newbuildings-at-cosco/2-1-1797155
Offshore,https://www.tradewindsnews.com/offshore
