Title,URL,Summary
LNG,https://www.upstreamonline.com/lng,Summary not available
"Six in frame for Asian giant's offshore rig deals
EXPLORATION
EXCLUSIVE",https://www.upstreamonline.com/rigs-and-vessels/six-in-frame-for-asian-giants-offshore-rig-deals/2-1-1796477,Summary not available
"Suriname player raises $516 million to fund major offshore development
FINANCE",https://www.upstreamonline.com/finance/suriname-player-raises-516-million-to-fund-granmorgu-development/2-1-1797390,Summary not available
"Shell pegs long term value on 'winner' gas and LNG portfolio
FINANCE",https://www.upstreamonline.com/finance/shell-pegs-long-term-value-on-winner-gas-and-lng-portfolio/2-1-1797389,Summary not available
First Jacket In at 300 MW Taiwanese Offshore Wind Farm,https://www.offshorewind.biz/2025/03/21/first-jacket-in-at-300-mw-taiwanese-offshore-wind-farm/,Summary not available
Offshore-Energy.biz,https://www.offshore-energy.biz/,Summary not available
Norwegian floating offshore wind companies optimistic about the industry’s future,https://www.offshorewind.biz/2025/03/24/norwegian-floating-offshore-wind-companies-optimistic-about-the-industrys-future/,Summary not available
Offshore Wind Common Goal in Netherlands,https://www.offshorewind.biz/2025/02/03/offshore-wind-common-goal-in-netherlands-as-75-pct-of-electricity-in-2032-expected-to-come-from-wind-farms-in-dutch-north-sea/,Summary not available
NEW Norwegian floating offshore wind companies optimistic about the industry’s future,https://www.offshorewind.biz/2025/03/24/norwegian-floating-offshore-wind-companies-optimistic-about-the-industrys-future/,Summary not available
Offshore Energy Exhibition & Conference (OEEC) 2025,https://www.offshorewind.biz/events/offshore-energy-exhibition-conference-oeec-2025/,Summary not available
Vena Energy Plans USD 200 Million Investment in 384 MW Offshore Wind Project in South Korea,https://www.offshorewind.biz/2025/03/25/vena-energy-plans-usd-200-million-investment-in-384-mw-offshore-wind-project-in-south-korea/,Summary not available
Floating Wind news,https://www.offshorewind.biz/topic/floating-wind/,Summary not available
offshoreWIND.biz,https://www.offshorewind.biz/,Summary not available
Philippine National Oil Company Eyes Offshore Wind Port in Batangas,https://www.offshorewind.biz/2025/03/24/philippine-national-oil-company-eyes-offshore-wind-port-in-batangas/,Summary not available
Gone with the Wind: Overcoming Europe’s Offshore Project Obstacles,https://www.offshorewind.biz/2025/03/20/gone-with-the-wind-overcoming-europes-offshore-project-obstacles/,Summary not available
NEW Reducing cost and risk in floating offshore wind asset integrity monitoring,https://www.offshorewind.biz/2025/03/10/reducing-cost-and-risk-in-floating-offshore-wind-asset-integrity-monitoring/,Summary not available
"Saipem Unveils Star1 Floating Wind Foundation for Next-Gen Turbines
14 days ago",https://www.offshorewind.biz/2025/03/11/saipem-unveils-star1-floating-wind-foundation-for-next-gen-turbines/,Summary not available
